,npi
96341,1003845306
96342,1003845306
96343,1003845306
96344,1003845306
96345,1003845306
96346,1003845306
96347,1003845306
111396,1003858010
111397,1003858010
111398,1003858010
111399,1003858010
111400,1003858010
111401,1003858010
111402,1003858010
111403,1003858010
111404,1003858010
111405,1003858010
111406,1003858010
111407,1003858010
111408,1003858010
178522,1003908799
178523,1003908799
178524,1003908799
178525,1003908799
178526,1003908799
178527,1003908799
178528,1003908799
178529,1003908799
178530,1003908799
178531,1003908799
178532,1003908799
178533,1003908799
178534,1003908799
178535,1003908799
178536,1003908799
178537,1003908799
178538,1003908799
178539,1003908799
178540,1003908799
178541,1003908799
178542,1003908799
178543,1003908799
178544,1003908799
178545,1003908799
178546,1003908799
178547,1003908799
178548,1003908799
178549,1003908799
178550,1003908799
178551,1003908799
178552,1003908799
178553,1003908799
178554,1003908799
178555,1003908799
178556,1003908799
178557,1003908799
178558,1003908799
178559,1003908799
178560,1003908799
178561,1003908799
178562,1003908799
227992,1003999376
227993,1003999376
227994,1003999376
227995,1003999376
227996,1003999376
227997,1003999376
227998,1003999376
227999,1003999376
228000,1003999376
228001,1003999376
228002,1003999376
228003,1003999376
228004,1003999376
228005,1003999376
228006,1003999376
228007,1003999376
228008,1003999376
228009,1003999376
228010,1003999376
228011,1003999376
228012,1003999376
228013,1003999376
228014,1003999376
228015,1003999376
228016,1003999376
228017,1003999376
228018,1003999376
228019,1003999376
228020,1003999376
228021,1003999376
228022,1003999376
228023,1003999376
228024,1003999376
228025,1003999376
228026,1003999376
228027,1003999376
228028,1003999376
228029,1003999376
228030,1003999376
228031,1003999376
228032,1003999376
228033,1003999376
228034,1003999376
228035,1003999376
228036,1003999376
228037,1003999376
228038,1003999376
228039,1003999376
228041,1003999376
228042,1003999376
228043,1003999376
228044,1003999376
228045,1003999376
228046,1003999376
228047,1003999376
228048,1003999376
228049,1003999376
228050,1003999376
228051,1003999376
228052,1003999376
243162,1013018977
243163,1013018977
243164,1013018977
243165,1013018977
243166,1013018977
243167,1013018977
243168,1013018977
243169,1013018977
243170,1013018977
243171,1013018977
243172,1013018977
243173,1013018977
243174,1013018977
243175,1013018977
243176,1013018977
243177,1013018977
243178,1013018977
243179,1013018977
243180,1013018977
243181,1013018977
243182,1013018977
243183,1013018977
243184,1013018977
243185,1013018977
243186,1013018977
243187,1013018977
243188,1013018977
243189,1013018977
243190,1013018977
243191,1013018977
243192,1013018977
243193,1013018977
243194,1013018977
243195,1013018977
243196,1013018977
243197,1013018977
243198,1013018977
243199,1013018977
243200,1013018977
243201,1013018977
243202,1013018977
243203,1013018977
243204,1013018977
243205,1013018977
243206,1013018977
243207,1013018977
267568,1013074012
295396,1013131390
295397,1013131390
295398,1013131390
404973,1013957182
404974,1013957182
756551,1033136544
756581,1033136544
756582,1033136544
756583,1033136544
756584,1033136544
756585,1033136544
756586,1033136544
756587,1033136544
756588,1033136544
756589,1033136544
756590,1033136544
756591,1033136544
756592,1033136544
756593,1033136544
