,npi
882,1093755134
3503,1831202126
15179,1447337936
16146,1629217872
17348,1376596726
17702,1407929698
28058,1952477622
29920,1962443739
32946,1497732994
36647,1891750923
42812,1720060460
43339,1508827395
44033,1275587123
46359,1215963715
46606,1720060460
47040,1174545271
59471,1457356768
61875,1629217872
64245,1174545271
64359,1093755134
66578,1962421198
71552,1225067044
79102,1275587123
80539,1720060460
85349,1841371515
92550,1952477622
112470,1205840451
114350,1457356768
114846,1174545271
144691,1427034271
146569,1457356768
160867,1952477622
161646,1639275969
172964,1639202351
185213,1093755134
187870,1083614770
194907,1104860253
199053,1275587123
221636,1043215650
223490,1174545271
225722,1215963715
229527,1093755134
229583,1194702076
231927,1346237096
239918,1255312625
240609,1639196108
241601,1104860253
244373,1417060120
250529,1104860253
259444,1215999578
262328,1215999578
264450,1275587123
268507,1639275969
271075,1215999578
272475,1366474512
275819,1720060460
281835,1316906456
283371,1346237096
283400,1639275969
284668,1174545271
286840,1205954955
294409,1235186636
294417,1558478529
296148,1639275969
308426,1932260064
312903,1528152840
318187,1346237096
318255,1275587123
319131,1215963715
325746,1215963715
340099,1528152840
340959,1275649048
344123,1912932815
349479,1831122662
356536,1346324316
357019,1275649048
364843,1932108701
369829,1033145487
378766,1245231406
380735,1508827395
381811,1457356768
383741,1720060460
389496,1033145487
396046,1215999578
406354,1639196108
408566,1083614770
412179,1225067044
418557,1043215650
426707,1407929698
433117,1407929698
433739,1871586933
438946,1346237096
453200,1174545271
453322,1093755134
456745,1255308797
467252,1346237096
470480,1932147410
475483,1962443739
479307,1912932815
481324,1639196108
483986,1376737809
489138,1215963715
492987,1174545271
493767,1225067044
500020,1407929698
508870,1215963715
517361,1659473742
535152,1255397204
535977,1457356768
537364,1174545271
539562,1104924349
540528,1952357303
545598,1174545271
559716,1912939760
560833,1215999578
570531,1104924349
572020,1508827395
572104,1639275969
573463,1104860253
573641,1457356768
578301,1225067044
588149,1720060460
593654,1407929698
599355,1255312625
601827,1972694677
612619,1952357303
618466,1073524823
621993,1982781506
626350,1508827395
635334,1043215650
641005,1619056124
651996,1952477622
657076,1831202126
660100,1629217872
670221,1639275969
670689,1174545271
673769,1932260064
675043,1255397204
677162,1497743090
679502,1457356768
681334,1093755134
690748,1215963715
694654,1346237096
696040,1215963715
696532,1174545271
699079,1457356768
700981,1912932815
704060,1831202126
709588,1407929698
717459,1457356768
725758,1912932815
734449,1225067044
741056,1851473334
741142,1457356768
753001,1912932815
762174,1205840451
764698,1952477622
769231,1033145487
770437,1457356768
784829,1043215650
786793,1104860253
787536,1639275969
788846,1740380997
792187,1932260064
792427,1952357303
804313,1174545271
805196,1346237096
805781,1346237096
818083,1912932815
820134,1275587123
828719,1073524823
834013,1356354252
837383,1033145487
840171,1851473334
840937,1346237096
845435,1316984750
850036,1457356768
852465,1063501823
860397,1457356768
868089,1831202126
868132,1457356768
868780,1003859885
870024,1316984750
873768,1346237096
874317,1639268782
875544,1366474512
881526,1457356768
883192,1225067044
887816,1689742397
891833,1720060460
893129,1205824117
895936,1275587123
897503,1417060120
898031,1437217601
901520,1346237096
903433,1831202126
908528,1215999578
909988,1023006129
916573,1376596726
923293,1215963715
924894,1174545271
925692,1457356768
927665,1104924349
929160,1346237096
931459,1215963715
937621,1316984750
943057,1497743090
946225,1003904830
948898,1912932815
951865,1043215650
957355,1346237096
968990,1831297266
972543,1275587123
986181,1255308797
988457,1366442188
991617,1629217872
995068,1346237096
1004694,1275649048
1007472,1972694677
1008796,1932147410
1012009,1548401292
1012961,1891750923
1015077,1316906456
1015351,1003811167
1015355,1457356768
1019433,1912932815
1023937,1932260064
1028772,1073524823
1032153,1831440122
1033022,1346324316
1036222,1174953764
1037199,1750472825
1044088,1255397204
1048162,1457356768
1049841,1952477622
1055100,1720060460
1056372,1497743090
1062649,1205954955
1070276,1952477622
1072183,1962511915
1074573,1215999578
1079751,1619056124
1082671,1225067044
1082931,1003811167
1089663,1003811167
1090174,1457356768
1099352,1093755134
1101793,1215963715
1102547,1356354252
1111377,1457356768
1114795,1093755134
1118887,1457356768
1120407,1255397204
1120699,1174545271
1123745,1346237096
1126870,1831202126
1128070,1093755134
1131559,1831202126
1138089,1437217601
1139142,1093755134
1139756,1043215650
1144046,1346237096
1158849,1932147410
1166606,1164598140
1168115,1497732994
1169262,1497732994
1174173,1952477622
1192074,1063501823
1192149,1437217601
1201396,1093755134
1206406,1932260064
1209506,1063482198
1210338,1225067044
1211408,1093755134
1211638,1508827395
1215550,1346237096
1237381,1215963715
1238340,1689742397
1252059,1437217601
1253004,1639196108
1254708,1215963715
1258397,1205840451
1260046,1629217872
1260719,1891869566
1260884,1164598140
1261160,1225067044
1264891,1831202126
1266940,1457356768
1270471,1932260064
1297058,1356354252
1297786,1346237096
1298366,1831202126
1300957,1639196108
1309339,1952357303
1310032,1275587123
1311010,1558448951
1312151,1952357303
1323154,1174545271
1326243,1497732994
1333878,1831202126
1342297,1457356768
1345950,1215963715
1356899,1457356768
1365286,1346324316
1366450,1831202126
1369355,1023006129
1371143,1174545271
