,npi
498805,1023004587
498806,1023004587
498807,1023004587
498808,1023004587
498809,1023004587
498810,1023004587
498811,1023004587
498812,1023004587
498813,1023004587
498814,1023004587
498815,1023004587
498816,1023004587
498817,1023004587
498818,1023004587
498819,1023004587
498820,1023004587
498821,1023004587
498822,1023004587
498823,1023004587
498824,1023004587
498825,1023004587
498826,1023004587
498827,1023004587
498828,1023004587
498829,1023004587
498830,1023004587
498831,1023004587
498832,1023004587
498833,1023004587
498834,1023004587
498835,1023004587
498836,1023004587
498837,1023004587
498838,1023004587
498839,1023004587
498840,1023004587
498841,1023004587
498842,1023004587
498843,1023004587
498844,1023004587
498845,1023004587
498846,1023004587
498847,1023004587
498848,1023004587
498849,1023004587
498850,1023004587
498851,1023004587
498852,1023004587
498853,1023004587
498854,1023004587
498855,1023004587
498856,1023004587
498857,1023004587
498858,1023004587
498859,1023004587
498860,1023004587
498861,1023004587
498862,1023004587
498863,1023004587
498864,1023004587
498865,1023004587
498866,1023004587
498867,1023004587
498868,1023004587
498869,1023004587
498870,1023004587
498871,1023004587
498872,1023004587
498873,1023004587
498874,1023004587
498875,1023004587
498876,1023004587
498877,1023004587
498878,1023004587
498879,1023004587
498880,1023004587
498881,1023004587
498882,1023004587
498883,1023004587
498884,1023004587
498885,1023004587
498886,1023004587
498887,1023004587
498888,1023004587
498889,1023004587
498890,1023004587
498891,1023004587
498892,1023004587
498893,1023004587
498894,1023004587
498895,1023004587
498896,1023004587
498897,1023004587
498898,1023004587
498899,1023004587
498900,1023004587
498901,1023004587
498902,1023004587
498903,1023004587
498904,1023004587
498905,1023004587
498906,1023004587
498907,1023004587
498908,1023004587
498909,1023004587
498910,1023004587
498911,1023004587
498912,1023004587
498913,1023004587
498914,1023004587
498915,1023004587
498916,1023004587
498917,1023004587
498918,1023004587
498919,1023004587
498920,1023004587
498921,1023004587
498922,1023004587
498923,1023004587
498924,1023004587
498925,1023004587
498926,1023004587
498927,1023004587
498928,1023004587
498929,1023004587
498930,1023004587
498931,1023004587
498932,1023004587
498933,1023004587
498934,1023004587
498935,1023004587
498936,1023004587
498937,1023004587
498938,1023004587
498939,1023004587
498940,1023004587
498941,1023004587
498942,1023004587
498943,1023004587
498944,1023004587
498945,1023004587
498946,1023004587
498947,1023004587
498948,1023004587
498949,1023004587
498950,1023004587
498951,1023004587
498952,1023004587
639686,1023119898
639687,1023119898
639688,1023119898
639689,1023119898
639690,1023119898
639691,1023119898
639692,1023119898
639693,1023119898
639694,1023119898
639695,1023119898
639696,1023119898
639697,1023119898
639698,1023119898
639699,1023119898
639700,1023119898
639701,1023119898
639702,1023119898
639703,1023119898
639704,1023119898
639705,1023119898
639706,1023119898
639707,1023119898
639708,1023119898
639709,1023119898
639710,1023119898
639711,1023119898
639712,1023119898
639713,1023119898
639714,1023119898
639715,1023119898
639716,1023119898
639717,1023119898
639718,1023119898
639719,1023119898
639720,1023119898
639721,1023119898
639722,1023119898
639723,1023119898
639724,1023119898
639725,1023119898
639726,1023119898
639727,1023119898
639728,1023119898
639729,1023119898
639730,1023119898
639731,1023119898
639732,1023119898
639733,1023119898
639734,1023119898
639735,1023119898
639736,1023119898
1026897,1043238421
1026898,1043238421
