,npi
24496,1003801044
24497,1003801044
24498,1003801044
24499,1003801044
24500,1003801044
24501,1003801044
24502,1003801044
24503,1003801044
24504,1003801044
24505,1003801044
24506,1003801044
24507,1003801044
24508,1003801044
24509,1003801044
38530,1003809195
38531,1003809195
38532,1003809195
38533,1003809195
38534,1003809195
38535,1003809195
38536,1003809195
38537,1003809195
38538,1003809195
38539,1003809195
38540,1003809195
38541,1003809195
38542,1003809195
38543,1003809195
38544,1003809195
38545,1003809195
38546,1003809195
38547,1003809195
38548,1003809195
38549,1003809195
38550,1003809195
38551,1003809195
38552,1003809195
38553,1003809195
38554,1003809195
38555,1003809195
38556,1003809195
38557,1003809195
38558,1003809195
38559,1003809195
38560,1003809195
38561,1003809195
38562,1003809195
38563,1003809195
38564,1003809195
38565,1003809195
38566,1003809195
38567,1003809195
38568,1003809195
38569,1003809195
38570,1003809195
38571,1003809195
38572,1003809195
38573,1003809195
38574,1003809195
38575,1003809195
38576,1003809195
38577,1003809195
38578,1003809195
38579,1003809195
38580,1003809195
38581,1003809195
38582,1003809195
38583,1003809195
38584,1003809195
38585,1003809195
38586,1003809195
38587,1003809195
38588,1003809195
38589,1003809195
38590,1003809195
38591,1003809195
38592,1003809195
38593,1003809195
38594,1003809195
38595,1003809195
38596,1003809195
38597,1003809195
38598,1003809195
38599,1003809195
38600,1003809195
117191,1003867730
117192,1003867730
132708,1003878711
132709,1003878711
132710,1003878711
132711,1003878711
132712,1003878711
132713,1003878711
132714,1003878711
132715,1003878711
132716,1003878711
132717,1003878711
132718,1003878711
132719,1003878711
132720,1003878711
132721,1003878711
132722,1003878711
132723,1003878711
132724,1003878711
132725,1003878711
132726,1003878711
132727,1003878711
132728,1003878711
132729,1003878711
132730,1003878711
132731,1003878711
132732,1003878711
132733,1003878711
132734,1003878711
132735,1003878711
145995,1003886979
145996,1003886979
145997,1003886979
145998,1003886979
145999,1003886979
146000,1003886979
146001,1003886979
146002,1003886979
146003,1003886979
146004,1003886979
146005,1003886979
146006,1003886979
146007,1003886979
146008,1003886979
146009,1003886979
146010,1003886979
146011,1003886979
146012,1003886979
146013,1003886979
146014,1003886979
146015,1003886979
146016,1003886979
146017,1003886979
146018,1003886979
146019,1003886979
146020,1003886979
146021,1003886979
146022,1003886979
146023,1003886979
146024,1003886979
146025,1003886979
146026,1003886979
146027,1003886979
146028,1003886979
146029,1003886979
146030,1003886979
146031,1003886979
146032,1003886979
146033,1003886979
146034,1003886979
146035,1003886979
146036,1003886979
146037,1003886979
146038,1003886979
146039,1003886979
146041,1003886979
146042,1003886979
146043,1003886979
146044,1003886979
146045,1003886979
146046,1003886979
146047,1003886979
146048,1003886979
146049,1003886979
146050,1003886979
146051,1003886979
146052,1003886979
146053,1003886979
146054,1003886979
146055,1003886979
146056,1003886979
146057,1003886979
146058,1003886979
146059,1003886979
146060,1003886979
146061,1003886979
146062,1003886979
146063,1003886979
146064,1003886979
146065,1003886979
146066,1003886979
146067,1003886979
146068,1003886979
146069,1003886979
146070,1003886979
146071,1003886979
146072,1003886979
146073,1003886979
146074,1003886979
146075,1003886979
146076,1003886979
146077,1003886979
146078,1003886979
146079,1003886979
146080,1003886979
146081,1003886979
146082,1003886979
146083,1003886979
146084,1003886979
146085,1003886979
146086,1003886979
146087,1003886979
146088,1003886979
146089,1003886979
146090,1003886979
146091,1003886979
146092,1003886979
146093,1003886979
230143,1013009000
230144,1013009000
230145,1013009000
230146,1013009000
953132,1043217052
